År;Kbn stad;Kbn amt;Frederiksborg;Holbæk;Sorø;Præstø;Bornholms;Maribo;Odense;Svendborg;Øerne i alt;Øerne i alt (kontrol);Hjørring;Thisted;Aalborg;Viborg;Randers;Aarhus;Skanderborg;Vejle;Ringkøbing;Ribe;Jylland;Jylland (kontrol);Hele kongeriget;Hele kongeriget (kontrol) ;DK_Gennemsnit
1837;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1838;2777;16416;13456;18064;15895;20050;6689;22737;20688;16904;150899;153676;15093;8331;13477;11179;17112;8786;8672;11871;9584;9040;113145;113145;266821;266821;13341,05
1861;3531;18272;15943;20097;18108;22362;7599;22620;25477;20865;174874;174874;19136;11083;17225;15676;22736;10302;11970;16266;12661;12621;149676;149676;324550;324550;16227,5
1866;3849;18984;16615;22391;19052;23007;7502;23501;27534;23618;186053;186053;21158;12150;19947;18298;25295;24052;NA;18821;14574;12255;166550;166550;352603;352603;17630,15
1871;4034;18638;15582;20520;18060;21568;7232;22010;24624;21228;173496;173496;18607;9855;16966;15747;21822;20625;NA;16477;12494;10481;143074;143074;316570;316570;15828,5
1876;4370;19813;17293;21776;19097;22973;7445;23166;27365;23189;186487;186487;21050;11228;20280;18743;24885;23507;NA;18664;15009;12409;165775;165775;352262;352262;17613,1
1881;5302;19490;16417;21097;18721;21571;7384;22445;25734;22165;180326;180326;21296;11406;20492;19251;24325;23458;NA;18110;16033;12864;167235;167235;347561;347561;17378,05
1888;6627;21228;16764;22195;19449;22378;7868;23118;26291;23163;189081;189081;23205;12930;22702;21151;25856;25178;NA;20078;20097;15255;186452;186452;375533;375533;18776,65
1893;6733;22902;17931;23916;20757;23704;7766;24823;28497;25072;202101;202101;25908;14550;25159;23735;28754;27479;NA;21310;24097;17546;208538;208538;410639;410639;20531,95
1898;7932;24735;18868;25578;22073;25554;8289;26367;30121;26622;216139;216139;28339;16200;29510;27506;30583;29737;NA;22903;28355;22022;233190;235155;449329;451294;22564,7
1903;10631;23080;20176;27933;23706;26989;8549;27333;31359;28197;227953;227953;30069;18153;32361;31847;32894;32525;NA;25001;33302;22830;258982;258982;486935;486935;24346,75
1909;12194;22507;21042;29684;25825;28651;9145;29535;33777;30079;242439;242439;33786;20498;37422;36457;36744;35705;NA;27635;38626;25689;292580;292562;535018;535001;26750,05
1914;12133;23837;22034;32498;27056;30718;9486;30041;34458;31398;253659;253659;36062;22232;40283;38764;38304;38146;NA ;29523;41417;28850;313581;313581;567240;567240;28362
