År;Kbn stad;Kbn amt;Frederiksborg;Holbæk;Sorø;Præstø;Bornholms;Maribo;Odense;Svendborg;Øerne i alt;Øerne i alt (kontrol);Hjørring;Thisted;Aalborg;Viborg;Randers;Aarhus;Skanderborg;Vejle;Ringkøbing;Ribe;Jylland;Jylland (kontrol);Hele kongeriget
1837;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1838;555,4;746,1818182;546,9918699;614,4217687;595,3183521;661,7161716;631,0377358;755,3820598;646,5;569,1582492;NA;NA;299,4642857;272,254902;252,8517824;203,2545455;387,1493213;610,1388889;283,3986928;283,3174224;117,1638142;167,4074074;NA;NA;385,6909511
1861;706,2;830,5454545;648,0894309;683,5714286;678,2022472;738,019802;716,8867925;751,4950166;796,15625;702,5252525;NA;NA;379,6825397;362,1895425;323,1707317;285,0181818;514,3891403;715,4166667;391,1764706;388,2100239;154,7799511;233,7222222;NA;NA;469,1384793
1866;769,8;862,9090909;675,4065041;761,5986395;713,5580524;759,3069307;707,7358491;780,7641196;860,4375;795,2188552;NA;NA;419,8015873;397,0588235;374,2401501;332,6909091;572,2850679;534,4888889;NA;449,1885442;178,1662592;226,9444444;NA;NA;509,6892165
1871;806,8;847,1818182;633,4146341;697,9591837;676,4044944;711,8151815;682,2641509;731,2292359;769,5;714,7474747;NA;NA;369,1865079;322,0588235;318,3114447;286,3090909;493,7104072;458,3333333;NA;393,2458234;152,7383863;194,0925926;NA;NA;457,6033536
1876;874;900,5909091;702,9674797;740,6802721;715,2434457;758,1848185;702,3584906;769,6345515;855,15625;780,7744108;NA;NA;417,6587302;366,9281046;380,4878049;340,7818182;563,0090498;522,3777778;NA;445,4415274;183,4841076;229,7962963;NA;NA;509,1962995
1881;1060,4;885,9090909;667,3577236;717,585034;701,1610487;711,9141914;696,6037736;745,6810631;804,1875;746,2962963;NA;NA;422,5396825;372,745098;384,4652908;350,0181818;550,3393665;521,2888889;NA;432,2195704;196,002445;238,2222222;NA;NA;502,4009829
1888;1325,4;964,9090909;681,4634146;754,9319728;728,4269663;738,5478548;742,2641509;768,0398671;821,59375;779,8989899;NA;NA;460,4166667;422,5490196;425,9287054;384,5636364;584,9773756;559,5111111;NA;479,1885442;245,6845966;282,5;NA;NA;542,8346343
1893;1346,6;1041;728,902439;813,4693878;777,4157303;782,310231;732,6415094;824,6843854;890,53125;844,1750842;NA;NA;514,047619;475,4901961;472,0262664;431,5454545;650,5429864;610,6444444;NA;508,5918854;294,5843521;324,9259259;NA;NA;593,5805146
1898;1586,4;1124,318182;766,9918699;870;826,7041199;843,3663366;781,9811321;875,9800664;941,28125;896,3636364;NA;NA;562,281746;529,4117647;553,6585366;500,1090909;691,9230769;660,8222222;NA;546,6109785;346,6381418;407,8148148;NA;NA;649,507083
1903;2126,2;1049,090909;820,1626016;950,1020408;887,8651685;890,7260726;806,509434;908,0730897;979,96875;949,3939394;NA;NA;596,6071429;593,2352941;607,1482176;579,0363636;744,2081448;722,7777778;NA;596,6825776;407,1149144;422,7777778;NA;NA;703,8667245
1909;2438,8;1023,045455;855,3658537;1009,659864;967,2284644;945,5775578;862,7358491;981,2292359;1055,53125;1012,760943;NA;NA;670,3571429;669,869281;702,1013133;662,8545455;831,3122172;793,4444444;NA;659,5465394;472,200489;475,7222222;NA;NA;773,3709164
1914;2426,6;1083,5;895,6910569;1105,37415;1013,333333;1013,79538;894,9056604;998,0398671;1076,8125;1057,171717;NA;NA;715,515873;726,5359477;755,7786116;704,8;866,6063348;847,6888889;NA ;704,6062053;506,3202934;534,2592593;NA;NA;819,9479618
