År;Kbn stad;Kbn amt;Frederiksborg;Holbæk;Sorø;Præstø;Bornholms;Maribo;Odense;Svendborg;Øerne i alt;Øerne i alt (kontrol);Hjørring;Thisted;Aalborg;Viborg;Skanderborg;Randers;Aarhus;Vejle;Ringkøbing;Ribe;Jylland;Jylland (kontrol);Hele kongeriget;Hele kongeriget (kontrol) ;DK_Gennemsnit
1837;622;17426;21330;19229;19465;22739;6754;21349;18328;16099;162719;163341;6725;4090;6616;6157;5467;7646;5709;9855;9923;7784;69972;69972;235291;233313;11665,65
1838;739;14180;14384;14754;15893;18516;4113;16701;9498;9123;110581;117901;3236;2537;2751;3361;3459;4469;3035;4847;7087;3844;38626;38626;157599;156527;7826,35
1861;871;18565;22533;26551;20678;28664;6497;22631;22883;18905;188778;188778;11474;4758;11232;12121;9084;14241;7290;14496;14961;12493;112150;112150;;300928;15046,4
1866;1436;22297;25907;36394;27507;33422;5958;23074;25498;24052;225545;225545;16211;5891;14866;17119;NA;17806;24639;23209;20619;15607;155967;155967;381512;381512;19075,6
1871;1549;24727;29388;40434;30220;36103;7506;25157;30177;27921;253182;253182;22843;7066;18807;20611;NA;20588;28754;26987;24187;19396;189239;189239;442421;442421;22121,05
1876;872;24011;27889;43295;34878;37021;5820;23282;32353;27943;257364;257364;30938;9724;28867;28370;NA;23649;34204;35597;30636;24318;246303;246303;503667;503667;25183,35
1881;961;28586;30497;48543;40451;42292;7096;26951;31574;28366;285317;285317;34605;10982;27603;27498;NA;22997;33535;31767;31211;21902;242100;242100;527417;527417;26370,85
1888;294;33354;43259;65539;54637;57613;12692;39196;49597;42337;398518;398518;54946;23486;40357;37525;NA;36031;52168;46071;47723;33960;372267;372267;770785;770785;38539,25
1893;887;42426;47415;80295;66499;69432;15248;41454;49632;43031;456319;456319;55140;20184;45691;40111;NA;37422;52665;43917;47210;30472;372812;372812;829131;829131;41456,55
1898;275;59122;64751;110047;94016;98615;24577;63038;68407;55296;638144;638144;75183;26538;65372;58063;NA;52852;78086;63876;65569;44810;530349;530349;1168493;1168493;58424,65
1903;4133;62248;69129;129630;108539;116382;30423;76058;84482;74114;755138;755138;98325;38504;88464;77051;NA;67563;95221;86486;87343;62604;701561;701561;1456699;1456699;72834,95
1909;3906;57852;69169;125658;98271;113114;32586;77849;83621;77906;739932;739932;92510;43168;92182;81551;NA;65370;95906;87797;99172;70234;727890;727890;1467822;1467822;73391,1
1914;7565;99911;98964;197634;150866;172064;51788;132083;134323;141486;1186684;1186684;160674;80239;159077;151078;NA;131902;212255;142023;157812;114962;1310022;1310022;2496706;2496706;124835,3
